0.274942f, -3.709444f, 4.068681f,
0.257084f, -3.737961f, 4.183276f,
0.230190f, -3.726759f, 4.198326f,
0.216835f, -3.728124f, 4.167761f,
0.230190f, -3.726759f, 4.198326f,
0.257084f, -3.737961f, 4.183276f,
0.251197f, -3.720646f, 4.223584f,
0.216835f, -3.728124f, 4.167761f,
0.246522f, -3.739047f, 4.159103f,
0.257084f, -3.737961f, 4.183276f,
0.212440f, -3.724649f, 4.134807f,
0.246522f, -3.739047f, 4.159103f,
0.246522f, -3.739047f, 4.159103f,
0.216835f, -3.728124f, 4.167761f,
0.277799f, -3.710468f, 4.241023f,
0.294741f, -3.725083f, 4.217068f,
0.307394f, -3.697156f, 4.248967f,
0.294741f, -3.725083f, 4.217068f,
0.273700f, -3.733151f, 4.203259f,
0.277799f, -3.710468f, 4.241023f,
0.273700f, -3.733151f, 4.203259f,
0.251197f, -3.720646f, 4.223584f,
0.232904f, -3.671184f, 4.042212f,
0.264227f, -3.653155f, 4.027721f,
0.232904f, -3.671184f, 4.042212f,
0.207923f, -3.687816f, 4.067006f,
0.264227f, -3.653155f, 4.027721f,
0.252767f, -3.690701f, 4.053445f,
0.298826f, -3.635530f, 4.024960f,
0.309335f, -3.660106f, 4.038644f,
0.264227f, -3.653155f, 4.027721f,
0.298826f, -3.635530f, 4.024960f,
0.191730f, -3.701438f, 4.099680f,
0.217435f, -3.716674f, 4.102753f,
0.185910f, -3.710747f, 4.137010f,
0.212440f, -3.724649f, 4.134807f,
0.191730f, -3.701438f, 4.099680f,
0.231331f, -3.704976f, 4.074732f,
0.207923f, -3.687816f, 4.067006f,
0.388796f, -3.601056f, 4.083948f,
0.404361f, -3.599442f, 4.119602f,
0.388796f, -3.601056f, 4.083948f,
0.365533f, -3.636616f, 4.064027f,
0.404361f, -3.599442f, 4.119602f,
0.409481f, -3.603476f, 4.157955f,
0.404290f, -3.632613f, 4.152804f,
0.404361f, -3.599442f, 4.119602f,
0.409481f, -3.603476f, 4.157955f,
0.333314f, -3.620015f, 4.034206f,
0.338931f, -3.646794f, 4.046588f,
0.333314f, -3.620015f, 4.034206f,
0.364316f, -3.608130f, 4.054532f,
0.388796f, -3.601056f, 4.083948f,
0.364316f, -3.608130f, 4.054532f,
0.362486f, -3.643039f, 4.252784f,
0.331164f, -3.661068f, 4.267275f,
0.362486f, -3.643039f, 4.252784f,
0.385398f, -3.652287f, 4.212879f,
0.331164f, -3.661068f, 4.267275f,
0.337084f, -3.682013f, 4.246578f,
0.296565f, -3.678693f, 4.270037f,
0.307394f, -3.697156f, 4.248967f,
0.331164f, -3.661068f, 4.267275f,
0.296565f, -3.678693f, 4.270037f,
0.403660f, -3.612785f, 4.195316f,
0.399294f, -3.640588f, 4.184858f,
0.403660f, -3.612785f, 4.195316f,
0.387468f, -3.626407f, 4.227991f,
0.362486f, -3.643039f, 4.252784f,
0.387468f, -3.626407f, 4.227991f,
0.206594f, -3.713168f, 4.211048f,
0.191032f, -3.714781f, 4.175394f,
0.206594f, -3.713168f, 4.211048f,
0.231075f, -3.706093f, 4.240465f,
0.191032f, -3.714781f, 4.175394f,
0.230190f, -3.726759f, 4.198326f,
0.185910f, -3.710747f, 4.137010f,
0.191032f, -3.714781f, 4.175394f,
0.262076f, -3.694208f, 4.260789f,
0.277799f, -3.710468f, 4.241023f,
0.262076f, -3.694208f, 4.260789f,
0.251197f, -3.720646f, 4.223584f,
0.231075f, -3.706093f, 4.240465f,
-0.251197f, -3.720646f, 4.223584f,
-0.231075f, -3.706093f, 4.240465f,
-0.262076f, -3.694208f, 4.260789f,
-0.230190f, -3.726759f, 4.198326f,
-0.231075f, -3.706093f, 4.240465f,
-0.277799f, -3.710468f, 4.241023f,
-0.251197f, -3.720646f, 4.223584f,
-0.307394f, -3.697156f, 4.248967f,
-0.277799f, -3.710468f, 4.241023f,
-0.296565f, -3.678693f, 4.270037f,
-0.262076f, -3.694208f, 4.260789f,
-0.191032f, -3.714781f, 4.175394f,
-0.216835f, -3.728124f, 4.167761f,
-0.185910f, -3.710747f, 4.137010f,
-0.212440f, -3.724649f, 4.134807f,
-0.185910f, -3.710747f, 4.137010f,
-0.216835f, -3.728124f, 4.167761f,
-0.216835f, -3.728124f, 4.167761f,
-0.191032f, -3.714781f, 4.175394f,
-0.230190f, -3.726759f, 4.198326f,
-0.230190f, -3.726759f, 4.198326f,
-0.206594f, -3.713168f, 4.211048f,
-0.206594f, -3.713168f, 4.211048f,
-0.191032f, -3.714781f, 4.175394f,
-0.385398f, -3.652287f, 4.212879f,
-0.387468f, -3.626407f, 4.227991f,
-0.403660f, -3.612785f, 4.195316f,
-0.387468f, -3.626407f, 4.227991f,
-0.385398f, -3.652287f, 4.212879f,
-0.362486f, -3.643039f, 4.252784f,
-0.399294f, -3.640588f, 4.184858f,
-0.404290f, -3.632613f, 4.152804f,
-0.399294f, -3.640588f, 4.184858f,
-0.409481f, -3.603476f, 4.157955f,
-0.403660f, -3.612785f, 4.195316f,
-0.331164f, -3.661068f, 4.267275f,
-0.337084f, -3.682013f, 4.246578f,
-0.296565f, -3.678693f, 4.270037f,
-0.337084f, -3.682013f, 4.246578f,
-0.337084f, -3.682013f, 4.246578f,
-0.331164f, -3.661068f, 4.267275f,
-0.363963f, -3.666560f, 4.234165f,
-0.363963f, -3.666560f, 4.234165f,
-0.362486f, -3.643039f, 4.252784f,
-0.385398f, -3.652287f, 4.212879f,
-0.362486f, -3.643039f, 4.252784f,
-0.363963f, -3.666560f, 4.234165f,
-0.331164f, -3.661068f, 4.267275f,
-0.365533f, -3.636616f, 4.064027f,
-0.364316f, -3.608130f, 4.054532f,
-0.333314f, -3.620015f, 4.034206f,
-0.364316f, -3.608130f, 4.054532f,
-0.365533f, -3.636616f, 4.064027f,
-0.388796f, -3.601056f, 4.083948f,
-0.338931f, -3.646794f, 4.046588f,
-0.333314f, -3.620015f, 4.034206f,
-0.298826f, -3.635530f, 4.024960f,
-0.338931f, -3.646794f, 4.046588f,
-0.309335f, -3.660106f, 4.038644f,
-0.338931f, -3.646794f, 4.046588f,
-0.298826f, -3.635530f, 4.024960f,
-0.404361f, -3.599442f, 4.119602f,
-0.399896f, -3.629138f, 4.119850f,
-0.409481f, -3.603476f, 4.157955f,
-0.399896f, -3.629138f, 4.119850f,
-0.399896f, -3.629138f, 4.119850f,
-0.404361f, -3.599442f, 4.119602f,
-0.386540f, -3.630503f, 4.089285f,
-0.386540f, -3.630503f, 4.089285f,
-0.388796f, -3.601056f, 4.083948f,
-0.365533f, -3.636616f, 4.064027f,
-0.388796f, -3.601056f, 4.083948f,
-0.386540f, -3.630503f, 4.089285f,
-0.404361f, -3.599442f, 4.119602f,
-0.231331f, -3.704976f, 4.074732f,
-0.207923f, -3.687816f, 4.067006f,
-0.191730f, -3.701438f, 4.099680f,
-0.252767f, -3.690701f, 4.053445f,
-0.207923f, -3.687816f, 4.067006f,
-0.217435f, -3.716674f, 4.102753f,
-0.231331f, -3.704976f, 4.074732f,
-0.217435f, -3.716674f, 4.102753f,
-0.191730f, -3.701438f, 4.099680f,
-0.264227f, -3.653155f, 4.027721f,
-0.279645f, -3.675249f, 4.041033f,
-0.279645f, -3.675249f, 4.041033f,
-0.279645f, -3.675249f, 4.041033f,
-0.264227f, -3.653155f, 4.027721f,
-0.252767f, -3.690701f, 4.053445f,
-0.252767f, -3.690701f, 4.053445f,
-0.232904f, -3.671184f, 4.042212f,
-0.232904f, -3.671184f, 4.042212f,
-0.264227f, -3.653155f, 4.027721f,
-0.273700f, -3.733151f, 4.203259f,
-0.277799f, -3.710468f, 4.241023f,
-0.257084f, -3.737961f, 4.183276f,
-0.251197f, -3.720646f, 4.223584f,
-0.294741f, -3.725083f, 4.217068f,
-0.273700f, -3.733151f, 4.203259f,
-0.318150f, -3.714564f, 4.223336f,
-0.294741f, -3.725083f, 4.217068f,
-0.307394f, -3.697156f, 4.248967f,
-0.246522f, -3.739047f, 4.159103f,
-0.212440f, -3.724649f, 4.134807f,
-0.243046f, -3.736316f, 4.133038f,
-0.212440f, -3.724649f, 4.134807f,
-0.246522f, -3.739047f, 4.159103f,
-0.246522f, -3.739047f, 4.159103f,
-0.257084f, -3.737961f, 4.183276f,
-0.257084f, -3.737961f, 4.183276f,
-0.379847f, -3.679065f, 4.194788f,
-0.399294f, -3.640588f, 4.184858f,
-0.379847f, -3.679065f, 4.194788f,
-0.390838f, -3.669818f, 4.172601f,
-0.394788f, -3.663519f, 4.147250f,
-0.390838f, -3.669818f, 4.172601f,
-0.404290f, -3.632613f, 4.152804f,
-0.307394f, -3.697156f, 4.248967f,
-0.341630f, -3.702586f, 4.221443f,
-0.341630f, -3.702586f, 4.221443f,
-0.362892f, -3.690361f, 4.211607f,
-0.362892f, -3.690361f, 4.211607f,
-0.379847f, -3.679065f, 4.194788f,
-0.362892f, -3.690361f, 4.211607f,
-0.364133f, -3.666653f, 4.077059f,
-0.364133f, -3.666653f, 4.077059f,
-0.343092f, -3.674721f, 4.063251f,
-0.319683f, -3.685271f, 4.056983f,
-0.343092f, -3.674721f, 4.063251f,
-0.309335f, -3.660106f, 4.038644f,
-0.391310f, -3.660758f, 4.121215f,
-0.404290f, -3.632613f, 4.152804f,
-0.391310f, -3.660758f, 4.121215f,
-0.391310f, -3.660758f, 4.121215f,
-0.380747f, -3.661844f, 4.097012f,
-0.380747f, -3.661844f, 4.097012f,
-0.364133f, -3.666653f, 4.077059f,
-0.380747f, -3.661844f, 4.097012f,
-0.257987f, -3.720739f, 4.085531f,
-0.217435f, -3.716674f, 4.102753f,
-0.274942f, -3.709444f, 4.068681f,
-0.231331f, -3.704976f, 4.074732f,
-0.246996f, -3.730017f, 4.107687f,
-0.257987f, -3.720739f, 4.085531f,
-0.246996f, -3.730017f, 4.107687f,
-0.296201f, -3.697218f, 4.058876f,
-0.309335f, -3.660106f, 4.038644f,
-0.296201f, -3.697218f, 4.058876f,
-0.296201f, -3.697218f, 4.058876f,
-0.274942f, -3.709444f, 4.068681f,
-0.274942f, -3.709444f, 4.068681f,
&
-0.082400f, -0.685659f, -0.723197f,
-0.125706f, -0.647572f, -0.751549f,
0.069399f, -0.535478f, -0.841670f,
0.284646f, -0.425550f, -0.858974f,
0.101962f, -0.579547f, -0.808527f,
-0.382214f, -0.835780f, -0.394147f,
-0.325297f, -0.863430f, -0.385479f,
-0.382214f, -0.835780f, -0.394147f,
0.835109f, -0.272317f, -0.477889f,
0.844813f, -0.210913f, -0.491684f,
0.941679f, -0.200903f, -0.269906f,
0.973601f, -0.226081f, -0.030732f,
0.926878f, -0.263131f, -0.267617f,
0.499496f, -0.328898f, -0.801416f,
0.691122f, -0.314188f, -0.650838f,
0.844813f, -0.210913f, -0.491684f,
0.680227f, -0.520035f, 0.516526f,
0.680990f, -0.472457f, 0.559465f,
0.486099f, -0.584643f, 0.649464f,
0.270669f, -0.694174f, 0.666951f,
0.937346f, -0.283944f, 0.201788f,
0.827387f, -0.421979f, 0.370556f,
0.680990f, -0.472457f, 0.559465f,
-0.237373f, -0.932890f, 0.270821f,
-0.289346f, -0.909085f, 0.299661f,
-0.386334f, -0.919065f, 0.077609f,
-0.418226f, -0.893887f, -0.161260f,
-0.386334f, -0.919065f, 0.077609f,
0.270669f, -0.694174f, 0.666951f,
0.055452f, -0.790979f, 0.609272f,
-0.163427f, -0.611744f, -0.773949f,
-0.325816f, -0.720176f, -0.612476f,
0.265419f, -0.380016f, -0.886044f,
0.265419f, -0.380016f, -0.886044f,
-0.468734f, -0.869167f, -0.157476f,
-0.281259f, -0.751213f, -0.597095f,
0.951598f, -0.145451f, -0.270699f,
0.951598f, -0.145451f, -0.270699f,
0.951598f, -0.145451f, -0.270699f,
0.499496f, -0.328898f, -0.801416f,
0.850398f, -0.156072f, -0.502426f,
0.475692f, -0.546403f, 0.689291f,
0.475692f, -0.546403f, 0.689291f,
0.270669f, -0.694174f, 0.666951f,
0.947081f, -0.232124f, 0.221656f,
0.841731f, -0.320841f, 0.434156f,
-0.334788f, -0.884732f, 0.324198f,
-0.174932f, -0.839015f, 0.515183f,
-0.468734f, -0.869167f, -0.157476f,
0.055452f, -0.790979f, 0.609272f,
-0.174932f, -0.839015f, 0.515183f,
-0.026246f, -0.761742f, 0.647328f,
-0.055452f, -0.790979f, 0.609272f,
-0.055452f, -0.790979f, 0.609272f,
0.435743f, -0.895291f, 0.092349f,
0.418226f, -0.893887f, -0.161260f,
0.386334f, -0.919065f, 0.077609f,
0.289346f, -0.909085f, 0.299661f,
0.435743f, -0.895291f, 0.092349f,
-0.947081f, -0.232124f, 0.221656f,
-0.679464f, -0.428724f, 0.595386f,
-0.937346f, -0.283944f, 0.201788f,
-0.475692f, -0.546403f, 0.689291f,
-0.486099f, -0.584643f, 0.649464f,
-0.680990f, -0.472457f, 0.559465f,
-0.836543f, -0.368816f, 0.405133f,
-0.475692f, -0.546403f, 0.689291f,
-0.489700f, -0.279122f, -0.825983f,
-0.850398f, -0.156072f, -0.502426f,
-0.265419f, -0.380016f, -0.886044f,
-0.499496f, -0.328898f, -0.801416f,
-0.941679f, -0.200903f, -0.269906f,
-0.941679f, -0.200903f, -0.269906f,
-0.844813f, -0.210913f, -0.491684f,
-0.850398f, -0.156072f, -0.502426f,
0.281259f, -0.751213f, -0.597064f,
0.125706f, -0.647572f, -0.751549f,
0.281259f, -0.751213f, -0.597064f,
-0.040468f, -0.494675f, -0.868099f,
-0.069430f, -0.535478f, -0.841670f,
0.125706f, -0.647572f, -0.751549f,
-0.040468f, -0.494675f, -0.868099f,
0.237373f, -0.932890f, 0.270821f,
0.093936f, -0.891018f, 0.444075f,
-0.270669f, -0.694174f, 0.666951f,
0.359630f, -0.918424f, -0.164647f,
0.329081f, -0.942320f, 0.060976f,
-0.827387f, -0.421979f, 0.370556f,
-0.922788f, -0.341624f, 0.178137f,
-0.973601f, -0.226081f, -0.030732f,
-0.496200f, -0.625660f, 0.601917f,
-0.827387f, -0.421979f, 0.370556f,
-0.691122f, -0.314188f, -0.650838f,
-0.508835f, -0.383953f, -0.770470f,
-0.973601f, -0.226081f, -0.030732f,
-0.835109f, -0.272317f, -0.477889f,
-0.835109f, -0.272317f, -0.477889f,
0.082400f, -0.685659f, -0.723197f,
0.229713f, -0.783471f, -0.577380f,
-0.284646f, -0.425550f, -0.858974f,
0.082400f, -0.685659f, -0.723197f,
&
0, 1, 2,
3, 4, 5,
6, 7, 8,
9, 10, 11,
12, 13, 14,
15, 16, 17,
18, 19, 17,
20, 16, 21,
0, 22, 5,
23, 22, 21,
24, 25, 26,
27, 28, 29,
30, 31, 32,
33, 34, 35,
36, 37, 38,
39, 40, 14,
41, 10, 14,
42, 40, 43,
42, 44, 45,
46, 47, 43,
48, 49, 50,
51, 52, 53,
54, 55, 56,
57, 55, 50,
57, 58, 59,
60, 61, 38,
62, 34, 38,
63, 61, 64,
63, 65, 66,
67, 68, 64,
69, 70, 71,
72, 73, 74,
75, 76, 77,
78, 19, 79,
80, 81, 17,
82, 83, 84,
85, 58, 84,
86, 83, 87,
69, 88, 74,
89, 88, 87,
3, 90, 91,
92, 1, 93,
94, 13, 95,
96, 97, 2,
6, 98, 99,
100, 101, 102,
15, 103, 102,
23, 101, 104,
3, 105, 93,
106, 105, 104,
27, 107, 108,
109, 25, 110,
111, 37, 45,
112, 113, 26,
30, 114, 115,
39, 97, 99,
96, 116, 43,
46, 117, 118,
46, 119, 120,
121, 44, 118,
51, 122, 123,
124, 49, 125,
126, 127, 66,
128, 129, 50,
54, 130, 131,
132, 133, 115,
60, 113, 115,
67, 133, 134,
67, 135, 136,
137, 65, 134,
72, 138, 139,
140, 70, 141,
142, 81, 143,
144, 103, 71,
75, 145, 102,
146, 147, 131,
82, 129, 131,
89, 147, 148,
72, 149, 141,
150, 149, 148,
151, 152, 153,
151, 154, 155,
156, 157, 153,
158, 159, 160,
156, 161, 160,
162, 163, 164,
165, 166, 167,
168, 169, 170,
171, 172, 155,
173, 154, 174,
175, 176, 177,
178, 179, 180,
181, 179, 177,
182, 183, 184,
181, 185, 184,
186, 187, 160,
158, 188, 189,
190, 191, 192,
193, 194, 195,
196, 197, 198,
199, 200, 201,
202, 203, 204,
205, 203, 201,
206, 207, 208,
209, 210, 211,
212, 213, 184,
182, 214, 215,
216, 217, 218,
219, 220, 221,
222, 223, 224,
225, 226, 227,
225, 228, 229,
230, 231, 227,
165, 232, 164,
230, 233, 164,
234, 235, 211,
209, 207, 236,
237, 238, 239,
240, 241, 229,
242, 228, 243,
244, 157, 245,
244, 246, 247,
248, 249, 245,
250, 251, 252,
248, 159, 252,
168, 253, 254,
255, 256, 257,
258, 163, 259,
260, 154, 247,
171, 246, 167,
261, 179, 262,
175, 263, 192,
264, 263, 262,
265, 266, 267,
264, 183, 267,
250, 268, 269,
270, 268, 189,
270, 187, 271,
272, 197, 273,
193, 274, 189,
275, 203, 208,
199, 276, 218,
277, 276, 208,
278, 279, 280,
277, 210, 280,
216, 281, 267,
265, 282, 283,
284, 213, 285,
286, 223, 287,
219, 288, 215,
289, 231, 290,
289, 291, 292,
293, 294, 290,
255, 295, 254,
293, 232, 254,
237, 296, 280,
278, 297, 298,
299, 235, 300,
301, 228, 292,
240, 291, 236,
